mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
66	66	0	0	4/4	3	1		VII		d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
66	66	1/2	1/2	4/4	3	1		iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
67	67	0	0	4/4	3	1		VI		d	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
67	67	1/2	1/2	4/4	3	1		III		d	i		III	III							M	1	1	-3, 1, -2		-3	-3
68	68	0	0	4/4	3	1		v		d	i		v	v							m	1	1	1, -2, 2		1	1
68	68	1/2	1/2	4/4	3	1		V(64)		d	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
69	69	0	0	4/4	3	1		V(4)		d	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
69	69	1/8	1/8	4/4	3	1		V		d	i		V	V							M	1	1	1, 5, 2		1	1
69	69	1/4	1/4	4/4	3	1		V(64)		d	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
69	69	1/2	1/2	4/4	3	1		V(4)		d	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
69	69	3/4	3/4	4/4	3	1		V		d	i		V	V							M	1	1	1, 5, 2		1	1
70	70	0	0	4/4	3	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
72	72	0	0	4/4	3	1		V64/v		d	i		V64/v	V		64		v			M	1	1	3, 2, 6		2	3
72	72	1/4	1/4	4/4	3	1		V/v		d	i		V/v	V				v			M	1	1	2, 6, 3		2	2
72	72	1/2	1/2	4/4	3	1		ii		d	i		ii	ii							m	1	1	2, -1, 3		2	2
72	72	3/4	3/4	4/4	3	1		ii64		d	i		ii64	ii		64					m	1	1	3, 2, -1		2	3
73	73	0	0	4/4	3	1		I64		d	i		I64	I		64					M	1	1	1, 0, 4		0	1
73	73	1/4	1/4	4/4	3	1		I		d	i		I	I							M	1	1	0, 4, 1		0	0
73	73	1/2	1/2	4/4	3	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
73	73	3/4	3/4	4/4	3	1		i64		d	i		i64	i		64					m	1	1	1, 0, -3		0	1
74	74	0	0	4/4	3	1		ii6		d	i		ii6	ii		6					m	1	1	-1, 3, 2		2	-1
74	74	1/4	1/4	4/4	3	1		v		d	i		v	v							m	1	1	1, -2, 2		1	1
76	76	0	0	4/4	3	1		V6/v		d	i		V6/v	V		6		v			M	1	1	6, 3, 2		2	6
76	76	1/2	1/2	4/4	3	1		ii6		d	i		ii6	ii		6					m	1	1	-1, 3, 2		2	-1
